<PAD>	1000000000
<UNK>	1000000000
<S>	1000000000
</S>	1000000000
the	48590
of	30213
and	22498
to	18778
a	16330
in	15633
'	8112
is	8087
for	7225
that	6525
on	6114
or	5672
with	5377
you	4939
it	4936
be	4820
s	4673
i	4655
as	4427
by	4179
this	3543
was	3425
are	3390
an	3030
at	2834
from	2750
have	2646
he	2608
not	2576
shall	2351
we	2337
which	2109
any	2067
but	2034
can	1980
has	1934
if	1908
they	1798
all	1783
his	1776
were	1753
one	1575
will	1574
t	1545
up	1523
so	1503
your	1490
out	1479
may	1448
their	1368
time	1347
such	1302
when	1289
under	1287
there	1278
other	1274
people	1263
its	1240
been	1226
do	1191
about	1167
who	1165
more	1161
after	1140
than	1131
system	1129
what	1113
my	1100
new	1070
into	1038
no	1030
had	1002
said	992
some	947
her	940
person	917
she	881
me	872
like	855
also	848
them	831
two	812
would	812
article	810
our	805
him	784
make	778
where	766
china	762
study	751
just	750
made	744
method	724
these	710
get	709
first	707
over	702
between	684
how	680
could	659
high	649
well	648
should	648
only	647
years	638
m	637
state	636
application	634
work	631
used	616
section	616
analysis	613
water	609
year	604
use	604
then	603
now	589
control	587
know	583
re	576
b	575
take	569
go	561
right	559
day	558
based	552
order	550
us	541
company	541
before	537
way	536
don	535
those	533
world	533
most	529
through	529
development	526
group	522
part	521
because	519
paper	516
good	516
many	509
being	509
down	493
d	492
life	487
back	482
off	480
very	477
according	475
law	475
see	471
chinese	471
results	470
same	464
three	462
each	449
think	448
case	445
even	443
every	435
c	435
government	433
effect	433
must	432
using	423
without	411
data	410
different	407
want	402
technology	394
here	394
foreign	390
say	389
business	388
model	385
power	384
design	383
information	383
research	383
during	382
within	382
last	381
ordinance	377
going	377
public	376
come	375
much	375
long	369
area	367
man	366
place	362
level	361
put	361
set	359
rate	359
management	358
both	352
service	351
means	351
while	348
n	346
says	342
country	341
process	341
need	340
methods	338
give	337
against	337
l	336
subsection	335
court	331
another	327
did	319
little	319
p	318
period	317
less	315
structure	315
council	314
old	311
days	310
ve	310
party	307
around	307
great	305
number	301
low	296
things	295
too	293
market	292
important	292
